metadata,metadata,metadata,measured_values,measured_values,measured_values,measured_values,measured_values,measured_values,measured_values,measured_values,measured_values,measured_values,predicted_values,predicted_values,predicted_values,predicted_values,predicted_values,predicted_values,predicted_values,predicted_values,predicted_values,predicted_values
smiles,identifier,date,assay_0,assay_1,assay_2,assay_3,assay_4,assay_5,assay_6,assay_7,assay_8,assay_9,model_for_assay_0,model_for_assay_1,model_for_assay_2,model_for_assay_3,model_for_assay_4,model_for_assay_5,model_for_assay_6,model_for_assay_7,model_for_assay_8,model_for_assay_9
O=C(CSC1=NN=C(NC2CC2)S1)N1CCSC2=CC=CC=C21,RL-0,01/01/2019,7.758479234716955,6.3247109881967685,,5.437345214559004,5.08057880228174,4.496383900993467,,6.293507462786642,,5.299131531624986,7.962217055565584,7.6911524197720205,3.959208269374471,4.175817411872342,7.6910258160894145,0.40376512475708015,4.718903693223103,7.466084545822604,6.308796588045108,12.640669053600027
FC1=CC=C(C2=NC(CSC3=NN=C(NC4CC4)S3)=CS2)C=C1,RL-1,01/01/2019,,6.603930738309776,3.9425818736923377,5.3324558197096845,5.7635854252589365,6.472326968437842,4.560821548297373,5.935156629119558,5.606835725556715,,7.962217055565584,6.949770328166561,3.959208269374471,5.17391364659323,8.400074314550194,7.780364195181791,4.718903693223103,6.898379000381015,6.308796588045108,12.640669053600027
O=C(CSC1=NN=C(NC2CC2)S1)NC1CCOC2=CC=CC=C21,RL-2,01/01/2019,7.307155601953678,6.045649248035009,9.859804809203617,4.833198452205362,6.168741476794198,5.670806189303233,6.053976764857489,9.948421429821622,6.148947613365884,6.73525322977966,6.789365765769359,7.3648218293482515,10.414494890634275,0.06808853375064938,9.844791155440733,6.8077719932625795,6.116316396945042,10.446708440787555,6.451825201478483,8.405578571855097
CC(C)C(SC1=NN=C(NC2CC2)S1)C(N)=O,RL-3,01/01/2019,6.9809996069377815,5.826538271317283,5.791777718550883,6.6187385880175995,5.169770026663694,5.859098528569461,5.5529283734388155,2.0168880289797855,5.192793771681605,5.086045389629625,7.66141363771385,6.694579679636765,5.950207058563943,5.448525855577453,8.730660674539104,7.255424050228869,5.584340144206793,-0.5933087266395081,3.996118200879737,13.872588889981989
C1=CC=C(C2=NC(CSC3=NN=C(NC4CC4)S3)=CS2)N=C1,RL-4,01/02/2019,6.873943616721585,8.759488085585682,4.406600949393977,6.246641141293489,6.120544233304936,5.14047168475147,8.420635534549039,4.046138494835709,,5.762129772344597,0.47769226173318113,8.454150101173061,4.106851700596382,6.03189410731006,7.541182486889424,4.944395342043526,8.251651471099613,4.382708036392022,3.996118200879737,6.58783396383331
FC(F)(F)C1=CC=CC=C1CSC1=NN=C(NC2CC2)S1,RL-5,01/02/2019,6.35450573056075,3.447001993333255,6.3612348042678075,5.440488646881472,5.906159714920708,4.0551173224952395,6.319904305540862,3.3777907780043828,7.31922518629684,6.002561676683181,4.494832743671015,2.882144319494215,6.429182013362604,7.179803063360776,5.337009204857888,4.963917571308215,6.473542799676864,5.264566434496099,11.057407965266442,3.8779986046785417
CSC1=CC=C(CSC2=NN=C(NC3CC3)S2)C=C1,RL-6,01/02/2019,5.761780459178122,5.806447335947039,5.366393742242467,5.412337826710651,6.493832223849506,5.609930639537582,4.76890258357273,6.993155221905229,7.322123962761687,6.836026415058681,8.614342188989227,4.456554674090473,5.13093401755893,4.093758933725506,2.8229785332231603,5.535922335047259,4.93682128290924,7.837601885960567,9.66680124959074,5.64847541816548
C(CC12CC3CC(CC(C3)C1)C2)SC1=NN=C(NC2CC2)S1,RL-7,01/02/2019,5.937933161568774,5.458944706102586,4.4634567648206085,7.147371433377059,5.3888822068794,6.409782506101116,3.944190823656273,6.332037085045287,6.79067205310195,6.828456169192936,9.865096545486267,4.903299444551507,4.6797749118344045,9.972636614512261,3.9666879472207706,5.04626389593414,4.144313215939123,7.150966818538327,8.762169370658464,8.153636022575778
CN(C(=O)CSC1=NN=C(NC2CC2)S1)C1(C#N)CCCCC1,RL-8,01/03/2019,7.2605041148171825,,6.342512916523574,6.1543582904126914,5.075956377392184,4.121018043397845,3.6802868848083556,7.557032210287539,5.828125529798085,5.729744473549706,9.902382227887687,4.903299444551507,5.611123737374701,2.1702556084062454,7.676532217649825,2.701913954973323,3.5632609607788313,7.5857155604792155,5.648763945777509,6.5752696127849015
CC(SC1=NN=C(NC2CC2)S1)C1=NC2=CC=CC=C2C(=O)[NH]1,RL-9,01/03/2019,7.945176395969544,4.880144417268879,8.820599187314373,,6.764393093229114,,5.071543626769157,8.39342158545176,4.791813446712797,6.490707871589613,13.49372488912499,4.398753702873012,8.613989508453017,2.1702556084062454,5.961429409870867,2.701913954973323,5.017246830896677,5.41559797386489,6.329286675862543,7.082897827206668
CN1C=CC=C1C(=O)CSC1=NN=C(NC2CC2)S1,RL-10,01/03/2019,7.696690000284699,5.093384475684328,5.54526093520606,4.897227458255341,5.984623157907417,7.81480398847817,,9.920355908515475,5.590722676115876,5.7561655473037225,-1.0092455936813334,4.219857058680678,5.524643047822815,5.430547054108374,7.601752452400895,9.404835849631938,5.017246830896677,12.008901619840314,4.340584946478673,2.232575878639044
C1=CC=C(C2=NOC(CSC3=NN=C(NC4CC4)S3)=N2)C=C1,RL-11,01/03/2019,4.59531330265475,4.384478359770478,7.340869634430699,5.017244008128586,5.313244217271964,5.516451167848018,7.749075088311045,9.74623418296775,5.597751485994704,5.53917944553278,7.14992292471458,3.8630822111784875,8.159925259415719,5.546612669032665,4.010790222523144,12.916212459202892,8.091628156441214,11.81038963551658,5.283776394273369,3.0305504449436045
CC1=CC=CC=C1CSC1=NN=C(NC2CC2)S1,RL-12,01/04/2019,4.61902074760701,8.013224827857584,3.737381269247871,6.409799718937728,,4.052923485003221,4.396863050094883,8.998065309222376,4.6153263460182465,6.567526777096243,3.280271498096669,8.054278599610372,4.075240913859282,8.908458223635439,4.010790222523144,1.2746282131291484,4.509767899919618,9.656049309134893,3.945463284851747,2.3836895929075936
CC1=CC(C)=CC(CSC2=NN=C(NC3CC3)S2)=C1,RL-13,01/04/2019,5.391100472765319,4.385034810776954,8.134009638901485,6.789173397224426,6.407524420589796,,6.575411712863238,5.525883240758375,7.030632394313182,5.046656977116693,3.1539346176933654,3.51852720367417,7.957204580542006,5.003935758044297,11.555915229655731,1.2746282131291484,6.477430765558044,4.802569276761627,9.445602470306225,6.012244963554327
